piece,x,y
0.0,1.2614794753733072,64.22194772397437
0.0,0.8321811504081893,63.074022791425065
0.0,8.094039443792136,2.1579169478163758
0.0,9.760077759975953,2.3326051395733884
0.0,15.283807100933991,20.071308428455318
0.0,7.462579707847268,54.74735161699168
1.0,28.84204023349576,62.28859104621702
1.0,44.910140288649664,106.21749432288479
1.0,21.713587823240605,106.20377523797883
1.0,18.65170186236015,105.05737549243446
1.0,5.841213287093964,97.10414867139384
1.0,2.846100978702986,77.2874151530392
1.0,4.5033819771867005,74.60191992568846
2.0,16.098578119819244,18.31575034952109
2.0,10.33028330300521,0.7031281706476414
2.0,18.78389758979062,1.8111401249935961
3.0,29.59895204765631,59.19915659772946
3.0,22.86600316073899,36.070895208830194
3.0,33.37008535657284,20.725825373370096
3.0,48.32285669310737,48.80716057207695
4.0,78.77492002581432,101.46202776646754
4.0,73.63863734179665,107.0229155661504
4.0,46.59152639692535,106.39067498848347
4.0,31.618068822553944,60.56662670029323
4.0,48.12323752301552,50.38047094131274
5.0,16.584745095774103,19.387316660600607
5.0,19.85075327594104,3.1145721137940985
5.0,22.731155731474953,2.550298379350806
5.0,31.747317674681803,19.498219026167142
5.0,22.376418565276968,34.97244675497433
6.0,50.3570635424469,48.44992144769383
6.0,79.5330413566877,31.97601386302907
6.0,98.88462185498346,85.28601435074512
6.0,96.29068359762032,88.24853327772793
6.0,80.8138861028781,100.08714268073128
7.0,6.758144029423004,57.27717080189346
7.0,3.255324708724226,74.38308031786028
7.0,2.4387080775479815,74.47455381986019
7.0,1.2864152145754426,64.65261237770497
8.0,24.162144352817414,2.5198063335460965
8.0,43.74207321325846,5.0297477754265625
8.0,33.10610923195154,19.54949022235444
9.0,28.869243340814364,59.92869458769887
9.0,4.325324501459243,74.3029623767601
9.0,7.5492482777657575,56.89674990431583
9.0,21.45382413703867,37.12735617522929
10.0,45.36946909093834,5.357387573180921
10.0,69.36280289054035,7.849068518529441
10.0,78.21306902689226,30.690724289138494
10.0,49.33769597350324,47.19831704567754
10.0,34.39372206319316,20.3068411502786
11.0,3.009694247574707,75.4588744744429
11.0,2.7475525430695216,76.60698335549743
11.0,2.614137316928262,75.68581234391102
12.0,8.2560928219479,54.73197762662054
12.0,16.030346371011632,20.479552947661887
12.0,20.636655862660813,35.714966440979026
